installation_id,game_session,num_events_during_school_hours,total_number_of_misses,percentage_of_misses
0006a69f,901acc108f55a5a1,0,4229,0.2390616167326173
0006a69f,77b8ee947eb84b4e,0,4229,0.2390616167326173
0006a69f,6bdf9623adc94d89,0,4229,0.2390616167326173
0006a69f,9501794defd84e4d,0,4229,0.2390616167326173
0006a69f,a9ef3ecb3d1acc6a,0,4229,0.2390616167326173
0006c192,197a373a77101924,1139,4229,0.2390616167326173
0006c192,b2297d292892745a,1259,4229,0.2390616167326173
0006c192,957406a905d59afd,1259,4229,0.2390616167326173
00129856,ae691ec5ad5652cf,0,4229,0.2390616167326173
001d0ed0,c046a858e7c8bf03,6,4229,0.2390616167326173
001d0ed0,dc6bc0284039c9fb,70,4229,0.2390616167326173
001d0ed0,7b536271e99518f0,111,4229,0.2390616167326173
001d0ed0,9480b026e3e7d371,281,4229,0.2390616167326173
001d0ed0,8fdd5d389d0e272e,380,4229,0.2390616167326173
00225f67,619b9c069cf790ca,0,4229,0.2390616167326173
00279ac5,346d5f57cf40bac0,2139,4229,0.2390616167326173
002db7e3,67f9274eb736ab3f,0,4229,0.2390616167326173
002db7e3,03e73cfb40d8d204,0,4229,0.2390616167326173
002db7e3,cace4c493ac347e3,0,4229,0.2390616167326173
002db7e3,113a557b60770369,0,4229,0.2390616167326173
002db7e3,f50104895c55045f,0,4229,0.2390616167326173
002db7e3,470a1bd6b99152a7,0,4229,0.2390616167326173
002db7e3,1c48bdca76efc7b0,0,4229,0.2390616167326173
002db7e3,8f50f2fd987cade4,0,4229,0.2390616167326173
002db7e3,5025f22d6e944533,0,4229,0.2390616167326173
003372b0,631971b2efa19b8d,189,4229,0.2390616167326173
003372b0,28113cd58d865372,653,4229,0.2390616167326173
003372b0,3beae5a17e0b26f6,984,4229,0.2390616167326173
003372b0,0adc585fb4f48458,1013,4229,0.2390616167326173
003372b0,4649b29840d5b0f1,1185,4229,0.2390616167326173
003372b0,272cc78535e9add1,1745,4229,0.2390616167326173
004c2091,3a50778205e34531,0,4229,0.2390616167326173
004c2091,4e446ee715d1bd94,0,4229,0.2390616167326173
004c2091,ae5de691ea2252f1,0,4229,0.2390616167326173
004c2091,343206b33bfa7941,106,4229,0.2390616167326173
00634433,1454d273262f61e3,0,4229,0.2390616167326173
00634433,440633fe3ef55b90,0,4229,0.2390616167326173
00634433,8c2d5dff4635d020,0,4229,0.2390616167326173
00667b88,a01b01d1e22d0446,0,4229,0.2390616167326173
00667b88,900f3ed7ba1a3e72,0,4229,0.2390616167326173
