installation_id,game_session,worlds_played,total_correct,time_played,total_incorrect,num_assessments,exit_type_other_than_gamecompleted,game_play_total_time,num_wild_click_sessions,num_wild_click_sessions_grouped,longest_wild_click_run,length_of_current_play_session,num_play_sessions,current_play_session_compared_to_mean,current_play_session_compared_to_median,p_v_g_gt_sum_mean,p_v_g_ec_sum_mean,p_v_g_gt_sum_median,p_v_g_ec_sum_median,num_events_correct_json,num_events_incorrect_json,num_events_correct_eventid,num_events_incorrect_eventid
0006a69f,901acc108f55a5a1,3,0.0,1425.32,0.0,0,0,626.395,10,1,3,1425.32,1,0.0,0.0,-496204.2530364478,26.564243432551038,64920.5,139.0,28.0,28.0,69,14
0006a69f,77b8ee947eb84b4e,3,48.0,2265.697,0.0,48,1,1042.889,44,9,3,2265.697,1,0.0,0.0,-759317.3361981405,109.95437098829345,106061.0,255.0,42.0,42.0,124,22
0006a69f,6bdf9623adc94d89,3,48.0,2373.011,957.0,135,1,1135.637,44,9,3,2373.011,1,0.0,0.0,-777501.6357295997,133.83288504451835,137507.0,290.0,45.0,45.0,135,44
0006a69f,9501794defd84e4d,3,83.0,56245.211,957.0,187,1,3455.495,57,12,3,234.454,3,1582.899666666,1677.874,-738424.3776367124,50.20496353588912,776232.5,322.0,72.0,72.0,217,50
0006a69f,a9ef3ecb3d1acc6a,3,125.0,57149.128,999.0,229,1,3944.299,65,14,3,1138.371,3,980.2883333330001,773.9569999999999,-696634.544303379,19.871630202555778,818854.5,293.0,99.0,99.0,284,60
0006c192,197a373a77101924,4,0.0,140667.347,0.0,0,0,1328.033,93,17,17,1816.744,3,-840.6463333339999,-756.7959999999998,-834598.3794952695,296.95827594132675,214172.0,500.0,22.0,22.0,77,46
0006c192,b2297d292892745a,4,24.0,1556464.432,0.0,27,0,1742.829,93,17,17,342.734,5,558.145,367.42400000000004,-1031398.9547905882,272.45979672162525,289565.5,556.5,26.0,26.0,84,46
0006c192,957406a905d59afd,4,24.0,1556897.538,464.0,143,0,1846.525,95,17,17,775.84,5,211.66019999999992,0.0,-1242497.2069465949,202.30122172548732,216143.0,489.5,27.0,27.0,102,54
00129856,ae691ec5ad5652cf,1,0.0,0.078,0.0,3,0,0.078,0,0,0,0.078,1,0.0,0.0,-124098.41565724541,-40.28532974427995,-34654.0,-36.0,0.0,0.0,0,0
001d0ed0,c046a858e7c8bf03,2,0.0,271.008,0.0,0,0,0.0,0,0,0,271.008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
001d0ed0,dc6bc0284039c9fb,2,64.0,393.803,64.0,64,1,51.779,2,0,0,393.803,1,0.0,0.0,-72341.41565724541,20.71467025572005,17103.0,25.0,4.0,4.0,15,2
001d0ed0,7b536271e99518f0,2,101.0,826.802,64.0,101,1,82.663,5,1,1,826.802,1,0.0,0.0,-82785.41565724541,7.214670255720051,6659.0,11.5,8.0,8.0,28,2
001d0ed0,9480b026e3e7d371,3,101.0,1700.283,319.0,152,1,269.184,6,2,1,1700.283,1,0.0,0.0,-385923.65961962636,-85.66713994424352,-75323.0,-30.5,11.0,11.0,45,33
001d0ed0,8fdd5d389d0e272e,3,114.0,2051.27,319.0,173,1,459.864,6,2,1,2051.27,1,0.0,0.0,-668684.460327281,-227.5663529201899,-155971.5,-124.0,17.0,17.0,64,41
00225f67,619b9c069cf790ca,2,0.0,954.516,0.0,28,0,553.19,14,3,7,954.516,1,0.0,0.0,-720420.8283945413,-67.70657408672525,-60882.5,24.0,21.0,21.0,58,16
00279ac5,346d5f57cf40bac0,4,0.0,17408.024,0.0,0,0,16028.772,20,5,5,899.016,2,1568.7965,1568.7965,-365356.9219451202,120.00766830805968,1438231.5,476.0,114.0,114.0,289,176
002db7e3,67f9274eb736ab3f,4,0.0,1139.93,0.0,0,0,702.768,21,4,8,1139.93,1,0.0,0.0,-206134.47486824926,207.71309862821704,222559.0,316.0,46.0,46.0,93,116
002db7e3,03e73cfb40d8d204,4,0.0,12956.331,260.0,52,0,11609.669,81,9,21,1020.226,2,1084.3685,1084.3685,-1011657.8608956235,297.72935173873935,845077.5,672.0,102.0,102.0,249,165
